data;
set V := 1 2 3 4 5 6 7 8 9 10;

param alpha := 0.5;
param b := 1 550 2 600 3 450 4 650 5 700 6 800 7 1000 8 250 9 850 10 750;
param c := 1 4 2 4 3 4 4 5 5 5 6 4 7 6 8 4 9 5 10 5;
param d : 1 2 3 4 5 6 7 8 9 10 :=

1	.	300	420	430	768	900	235	546	456	430
2	300	.	345	200	250	545	700	250	500	320
3	420	345	.	100	750	225	525	300	650	200
4	430	200	100	.	250	300	200	220	515	100
5	768	250	750	250	.	220	350	450	300	350
6	900	545	225	300	220	.	300	225	450	250
7	235	700	525	200	350	300	.	550	345	200
8	546	250	300	220	450	225	550	.	435	625
9	456	500	650	515	300	450	345	435	.	300
10	430	320	200	100	350	250	200	625	300	.
;
